,Time,T_AVG
5617,2020-04-24,5.575
5618,2020-04-25,8.220833333333333
5619,2020-04-26,7.033333333333334
5620,2020-04-27,3.2583333333333333
5621,2020-04-28,4.1875
5622,2020-04-29,9.104166666666666
5623,2020-04-30,12.191666666666668
5624,2020-05-01,11.0625
5625,2020-05-02,10.4
5626,2020-05-03,15.25
5627,2020-05-04,8.070833333333333
5628,2020-05-05,4.341666666666667
5629,2020-05-06,3.0083333333333333
5630,2020-05-07,5.591666666666668
5631,2020-05-08,2.65
5632,2020-05-09,-1.3541666666666667
5633,2020-05-10,5.179166666666666
5634,2020-05-11,5.758333333333333
5635,2020-05-12,3.3125
5636,2020-05-13,2.5833333333333335
5637,2020-05-14,7.004166666666666
5638,2020-05-15,16.462500000000002
5639,2020-05-16,14.045833333333334
5640,2020-05-17,12.566666666666668
5641,2020-05-18,13.604166666666666
5642,2020-05-19,15.475
5643,2020-05-20,14.145833333333334
5644,2020-05-21,12.875
5645,2020-05-22,17.025000000000002
5646,2020-05-23,19.1125
5647,2020-05-24,17.433333333333334
5648,2020-05-25,18.683333333333334
5649,2020-05-26,22.724999999999998
5650,2020-05-27,22.445833333333336
5651,2020-05-28,20.7375
5652,2020-05-29,23.087500000000002
5653,2020-05-30,16.366666666666667
5654,2020-05-31,10.174999999999999
5655,2020-06-01,9.758333333333335
5656,2020-06-02,12.729166666666666
5657,2020-06-03,17.033333333333335
5658,2020-06-04,19.537499999999998
5659,2020-06-05,21.59583333333333
5660,2020-06-06,20.258333333333333
5661,2020-06-07,14.470833333333333
5662,2020-06-08,13.4625
5663,2020-06-09,18.341666666666665
5664,2020-06-10,22.6125
5665,2020-06-11,23.370833333333334
5666,2020-06-12,16.213043478260868
5667,2020-06-13,10.833333333333334
5668,2020-06-14,9.487499999999999
5669,2020-06-15,12.104166666666666
5670,2020-06-16,15.387500000000001
5671,2020-06-17,17.5
5672,2020-06-18,19.041666666666668
5673,2020-06-19,19.604166666666668
5674,2020-06-20,20.358333333333334
5675,2020-06-21,22.09166666666667
5676,2020-06-22,22.7625
5677,2020-06-23,23.3625
5678,2020-06-24,20.579166666666666
5679,2020-06-25,16.804166666666667
5680,2020-06-26,18.925
5681,2020-06-27,17.370833333333334
5682,2020-06-28,20.378260869565217
5683,2020-06-29,20.208333333333332
5684,2020-06-30,19.233333333333334
5685,2020-07-01,19.583333333333332
5686,2020-07-02,21.745833333333334
5687,2020-07-03,23.625
5688,2020-07-04,22.495833333333334
5689,2020-07-05,20.841666666666665
5690,2020-07-06,22.34166666666667
5691,2020-07-07,22.754166666666666
5692,2020-07-08,23.01304347826087
5693,2020-07-09,23.95
5694,2020-07-10,24.175
5695,2020-07-11,22.983333333333334
5696,2020-07-12,22.375
5697,2020-07-13,19.804166666666667
5698,2020-07-14,18.425
5699,2020-07-15,19.983333333333334
5700,2020-07-16,20.3625
5701,2020-07-17,22.616666666666664
5702,2020-07-18,21.004166666666666
5703,2020-07-19,22.925
5704,2020-07-20,23.745833333333334
5705,2020-07-21,20.05
5706,2020-07-22,22.59583333333333
5707,2020-07-23,23.045833333333334
5708,2020-07-24,22.070833333333336
5709,2020-07-25,21.479166666666668
5710,2020-07-26,21.825
5711,2020-07-27,23.8
5712,2020-07-28,23.59166666666667
5713,2020-07-29,19.162499999999998
5714,2020-07-30,20.308333333333334
5715,2020-07-31,19.175
5716,2020-08-01,20.091666666666665
5717,2020-08-02,24.066666666666666
5718,2020-08-03,23.474999999999998
5719,2020-08-04,20.408333333333335
5720,2020-08-05,19.837500000000002
5721,2020-08-06,16.733333333333334
5722,2020-08-07,17.974999999999998
5723,2020-08-08,20.525000000000002
5724,2020-08-09,21.05
5725,2020-08-10,22.325
5726,2020-08-11,23.337500000000002
5727,2020-08-12,21.650000000000002
5728,2020-08-13,18.970833333333335
5729,2020-08-14,19.787499999999998
5730,2020-08-15,20.491666666666667
5731,2020-08-16,21.120833333333334
5732,2020-08-17,20.316666666666666
5733,2020-08-18,18.25
5734,2020-08-19,15.579166666666666
5735,2020-08-20,14.220833333333333
5736,2020-08-21,18.675
5737,2020-08-22,19.974999999999998
5738,2020-08-23,20.866666666666667
5739,2020-08-24,21.866666666666664
5740,2020-08-25,20.775000000000002
5741,2020-08-26,17.0
5742,2020-08-27,19.7
5743,2020-08-28,20.2625
5744,2020-08-29,21.8125
5745,2020-08-30,17.775000000000002
5746,2020-08-31,13.862499999999999
5747,2020-09-01,19.241666666666667
5748,2020-09-02,20.295833333333334
5749,2020-09-03,20.041666666666668
5750,2020-09-04,18.866666666666667
5751,2020-09-05,14.362499999999999
5752,2020-09-06,16.070833333333333
5753,2020-09-07,18.412499999999998
5754,2020-09-08,20.412499999999998
5755,2020-09-09,20.962500000000002
5756,2020-09-10,21.116666666666667
5757,2020-09-11,15.950000000000001
5758,2020-09-12,12.0875
5759,2020-09-13,16.354166666666668
5760,2020-09-14,15.549999999999999
5761,2020-09-15,8.525
5762,2020-09-16,12.095833333333333
5763,2020-09-17,12.9625
5764,2020-09-18,11.754166666666668
5765,2020-09-19,5.752173913043479
5766,2020-09-20,6.658333333333334
5767,2020-09-21,7.116666666666667
5768,2020-09-22,7.891666666666667
5769,2020-09-23,12.266666666666666
5770,2020-09-24,14.012500000000001
5771,2020-09-25,16.133333333333333
5772,2020-09-26,16.395833333333332
5773,2020-09-27,19.841666666666665
5774,2020-09-28,20.016666666666666
5775,2020-09-29,17.2
5776,2020-09-30,12.920833333333334
